source,title,link,published,published_dt,imputed_time,compound,label,fetched_at,key
The Guardian (UK),"Blockbuster, board games and boredom: why everyone’s parenting like it’s 1999",https://www.theguardian.com/lifeandstyle/2025/aug/15/why-everyones-parenting-like-its-1999,"Fri, 15 Aug 2025 14:00:34 GMT",2025-08-15 14:00:34+00:00,False,0.6249,positive,2025-08-15 18:33:26.605639+00:00,a2d08ad9ff45baf2a0a88ca6cc4fc03a
The Guardian (UK),Why I withdrew my book from an LGBTQ+ literary prize | Jason Okundaye,https://www.theguardian.com/commentisfree/2025/aug/15/book-lgbtq-literary-polari-prize-trans-rights,"Fri, 15 Aug 2025 15:40:52 GMT",2025-08-15 15:40:52+00:00,False,0.5106,positive,2025-08-15 18:33:26.605639+00:00,b80ce3f4ffe7ccf019aa68503f1e3d8c
BBC News (Top stories),'It makes me feel horrible': Female PC goes undercover as runner to catch catcallers,https://www.bbc.com/news/articles/cz0y8r141pxo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 05:13:27 GMT",2025-08-15 05:13:27+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,62f020eecf619e8123037e3122c01bf2
BBC News (Top stories),Sonic boom heard after RAF scrambled to incident,https://www.bbc.com/news/articles/c7vl8vdj225o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 15:08:39 GMT",2025-08-15 15:08:39+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,74cc551d0170cecf0d209649d64470aa
BBC News (Top stories),Sturgeon book reignites trans row with JK Rowling,https://www.bbc.com/news/articles/cd6n78z1d34o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 10:13:26 GMT",2025-08-15 10:13:26+00:00,False,0.3885,positive,2025-08-15 18:33:26.605639+00:00,9fe296668c680d841b399b67a77b67a3
BBC News (Top stories),Suspended Labour councillor cleared of encouraging violent disorder at rally,https://www.bbc.com/news/articles/cjeykklwn7vo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 16:04:05 GMT",2025-08-15 16:04:05+00:00,False,-0.7096,negative,2025-08-15 18:33:26.605639+00:00,6e7837b04275193182cb4d59e7484e77
BBC News (Top stories),Kingsmill owner to buy Hovis to make UK bread giant,https://www.bbc.com/news/articles/c4gm3g2ljz1o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 15:13:01 GMT",2025-08-15 15:13:01+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,87523546017c2a66a5df694b07ca14d6
BBC News (Top stories),Washington DC sues federal government over police takeover,https://www.bbc.com/news/articles/c2018769n1yo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 16:54:21 GMT",2025-08-15 16:54:21+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,07f9816cbcc9573dbb2ae77c38d49240
BBC News (Top stories),One dead and several injured as Danish train hits tanker and derails,https://www.bbc.com/news/articles/cx235yjk3mmo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 18:05:10 GMT",2025-08-15 18:05:10+00:00,False,-0.8519,negative,2025-08-15 18:33:26.605639+00:00,21f328cc906c5f968100d0edc8ae6739
BBC News (Top stories),Charity boss offers Jenrick 'olive branch' over BBC row,https://www.bbc.com/news/articles/cwyex93wnd3o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 16:08:40 GMT",2025-08-15 16:08:40+00:00,False,0.4215,positive,2025-08-15 18:33:26.605639+00:00,338e2da74b6d12d9d7f2fd4035cb457a
BBC News (Top stories),Bowen: Netanyahu is presiding over a divided Israel - the fault lines are now chasms,https://www.bbc.com/news/articles/c3r441zyw27o?at_medium=RSS&at_campaign=rss,"Thu, 14 Aug 2025 23:33:47 GMT",2025-08-14 23:33:47+00:00,False,-0.4019,negative,2025-08-15 18:33:26.605639+00:00,9ff6dac02e9e5cc3bc40c07fa65d6f1f
BBC News (Top stories),Iceland offers £1 reward to customers for reporting shoplifters,https://www.bbc.com/news/articles/c707rzen2zvo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 17:34:12 GMT",2025-08-15 17:34:12+00:00,False,0.5719,positive,2025-08-15 18:33:26.605639+00:00,0b307728cb672feda0b11eb2ecb62065
BBC News (Top stories),Epping hotel given temporary ban on taking new asylum seekers,https://www.bbc.com/news/articles/cp8z537ngvno?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 16:05:15 GMT",2025-08-15 16:05:15+00:00,False,-0.5574,negative,2025-08-15 18:33:26.605639+00:00,28fbe7fb1d16d1666f7cc6bf5578ea7e
BBC News (Top stories),Far-right Israeli minister taunts prominent Palestinian prisoner in his cell,https://www.bbc.com/news/articles/cqxg3xg8xyyo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 12:16:50 GMT",2025-08-15 12:16:50+00:00,False,-0.296,negative,2025-08-15 18:33:26.605639+00:00,31e2a34699c3a69b40b607c3d61fea61
BBC News (Top stories),King hails veterans' courage and sacrifice on VJ Day,https://www.bbc.com/news/articles/c5y0lnzpqjgo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 15:49:59 GMT",2025-08-15 15:49:59+00:00,False,0.4939,positive,2025-08-15 18:33:26.605639+00:00,e6c396cf1ace9af0fed29d3b5fe7b740
BBC News (Top stories),"Left out of Alaska talks, exhausted Ukrainians fear an unjust peace",https://www.bbc.com/news/articles/cly7kl7e469o?at_medium=RSS&at_campaign=rss,"Thu, 14 Aug 2025 16:00:14 GMT",2025-08-14 16:00:14+00:00,False,-0.6705,negative,2025-08-15 18:33:26.605639+00:00,86035b541cd8d20ee5f353e1128cde10
